artist_name,track_name,release_date,genre,lyrics
Billie Eilish,Lost Cause,2021,soul,"Something's in the— Something's in the air right now Like I'm losin' track of time (Time, time) Like I don't really care right now But maybe that's fine You weren't even there that day I was waitin' on you (You, you) I wonder if you were aware that day Was the last straw for me and I knew I sent you flowers Did you even care? You ran the shower And left them by the stairs Ooh-ooh-ooh, a-a-a-ayy Thought you had your shit together, but damn, I was wrong (Wrong) You ain't nothin' but a lost cause (Cause, cause) And this ain't nothin' like it oncе was (Was, was) I know you think you're such an outlaw But you got no job (Job) You ain't nothin' but a lost cause (Cause) And this ain't nothin' likе it once was (Was) I know you think you're such an outlaw But you got no job I used to think you were shy (Shy) But maybe you just had nothing on your mind Maybe you were thinkin' 'bout yourself all the time I used to wish you were mine (Mine) But that was way before I realized Someone like you would always be so easy to find (So) So easy (So, so) Hee, mm-mm-mm, mm You might also like[Pre-Chorus] Gave me no flowers Wish I didn't care You'd be gone for hours Could be anywhere Ooh-ooh-ooh Ah-ah-ah-ah-ah Thought you would've grown eventually, but you proved me wrong (Wrong) You ain't nothing but a lost cause (Cause) And this ain't nothing like it once was (Was) I know you think you're such an outlaw (Yeah) But you got no job (No job) You ain't nothing but a lost cause (Cause) And this ain't nothing like it once was (Was) I know you think you're such an outlaw (Think you're such a lost cause) But you got no job (What did I tell you?) (Don't get complacent) (It's time to face it now, na-na, na-na, na-na) (What did I tell you?) (Don't get complacent) (It's time to face it now, na-na, na-na, na-na)"
TLC,Waterfalls,1994,soul,"A lonely mother gazing out of the window Staring at a son that she just can't touch If at any time he's in a jam, she'll be by his side But he doesn't realize he hurts her so much But all the praying just ain't helping at all 'Cause he can't seem to keep himself out of trouble So he goes out and he makes his money the best way he knows how Another body laying cold in the gutter Listen to me Don't go chasing waterfalls Please stick to the rivers and the lakes that you're used to I know that you're gonna have it your way or nothing at all But I think you're moving too fast Little precious has a natural obsession for temptation But he just can't see She gives him loving that his body can't handle But all he can say is, ""Baby, it's good to me"" One day, he goes and takes a glimpse in the mirror But he doesn't recognize his own face His health is fading, and he doesn't know why Three letters took him to his final resting place Y'all don't hear me Don't go chasing waterfalls Please stick to the rivers and the lakes that you're used to I know that you're gonna have it your way or nothing at all (Your way or no way) But I think you're moving too fast Don't go chasing waterfalls Please stick to the rivers and the lakes that you're used to I know that you're gonna have it your way or nothing at all But I think you're moving too fast You might also like[Verse 3: Left Eye] Come on! I seen a rainbow yesterday, but too many storms Have come and gone, leaving a trace of not one God-given ray Is it because my life is ten shades of gray, I pray All ten fade away, seldom praise Him for the sunny days And like His promise is true, only my faith can undo The many chances I blew to bring my life to anew Clear blue and unconditional skies Have dried the tears from my eyes, no more lonely cries My only bleeding hope is for the folk who can't cope With such an endurin' pain that it keeps 'em in the pourin' rain Who's to blame for tooting 'caine into your own vein? What a shame, you shoot and aim for someone else's brain You claim the insane, and name this day in time For falling prey to crime I say the system's got you victim to your own mind Dreams are hopeless aspirations in hopes of coming true Believe in yourself, the rest is up to me and you Don't go chasing waterfalls Please stick to the rivers and the lakes that you're used to I know that you're gonna have it your way or nothing at all But I think you're moving too fast Don't go chasing waterfalls Please stick to the rivers and the lakes that you're used to I know that you're gonna have it your way or nothing at all But I think you're movin' too fast (Ooh, you're movin' too fast) Don't go chasing waterfalls (Don't go, don't go) Please stick to the rivers and the lakes that you're used to I know that you're gonna have it your way or nothing at all (I know, I know, your way hey) But I think you're moving too fast"
John Legend,Who Do We Think We Are,2013,soul,"When was the last time we got to be 100% real, ya'll? I don't want ya'll holding back nothing! Who do we think we are? Baby, tell me, who do we think we are? We made a lot of magic It’s the only way we know Let’s trip the night fantastic Light it up, tell me more, explore We love, we love, we love the stars We could fall so hard The drinks, the minks, the jewels, the house, the cars Why’d we ball so hard? Yeah, I’m not afraid to fly Here we are, in the air, barely breathing And we’re not afraid to die Who do we think we are? Baby, tell me, who do we think we are? Who do we think we are? Baby, tell me, who do we think we are? We’ve got a lot of nerve, girl We walk around here like we own this place See my jewels dripping on my Timberlands Stepping like a criminal, success is so imminent Pink champagne, black Rolls Royce Eggplant double breasted suit from Tom Ford Bon voyage, left haters in the fog Look up in the sky, bet you recognize a boss Look into my eyes as I fantasize for us Still actin’ shy like this is summer class crush Money comin’ fast, I’m never in a rush, no Plus another twenty in the tuck Semi in the truck, another forty on the wrist Quarter-mill on my mind got me livin’ like I pitch Dodging Robin Givens, balling like I’m Roger Clemens Still in the game, uniform all linen She get Chanel, ski trips to Vail Only the highest grade, like trees that I inhale You might also like[Hook: John Legend] Yeah, I’m not afraid to fly Here we are, in the air, barely breathing And we’re not afraid to die Who do we think we are? Baby, tell me, who do we think we are? Who do we think we are? Baby, tell me, who do we think we are? Who do we think we are? I don’t know about y’all, but I feel good tonight There’s something in the air tonight You know, everyone needs someone to look up to Why shouldn't it be us? Who do we think we are? Tell me, who do we think we are? Who do we think we are? Tell me, who do we think we are? This is our song – our song for the future"
John Newman,Love Me Again,2013,soul,"Know I've done wrong I left your heart torn Is that what devils do? Took you so low Where only fools go I shook the angel in you Now I'm rising from the ground Rising up to you Filled with all the strength I found There's nothing I can't do I need to know now, know now Can you love me again? I need to know now, know now Can you love me again? I need to know now, know now Can you love me again? I need to know now, know now Can you love me again? Can you love me again? It's unforgivable I stole and burnt your soul Is that what demons do? They rule the worst of me Destroy everything They bring down angels like you Now I'm rising from the ground Rising up to you Filled with all the strength I found There's nothing I can't do I need to know now, know now Can you love me again? I need to know now, know now Can you love me again? (Can you love me again?) Can you love me again? I told you once, I can't do this again Do this again, oh lord I told you once, I can't do this again Do this again, oh no I need to know now, know now Can you love me again? I need to know now, know now Can you love me again? I need to know now, know now (Can you love me again?) (Can you love me again?) Can you love me again? Can you love me again?"
Seal,Kiss from a Rose,1994,soul,"Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya There used to be a greying tower alone on the sea And you became the light on the dark side of me Love remained a drug that's the high and not the pill But did you know that when it snows My eyes become large and The light that you shine can't be seen? Baby, I compare you to a kiss from a rose on the grey Ooh, the more I get of you, stranger it feels, yeah And now that your rose is in bloom A light hits the gloom on the grey Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya There is so much a man can tell you So much he can say You remain my power, my pleasure, my pain, baby To me, you're like a growing addiction that I can't deny Won't you tell me, is that healthy, baby? But did you know that when it snows My eyes become large and The light that you shine can't be seen? Baby, I compare you to a kiss from a rose on the grey Ooh, the more I get of you, stranger it feels, yeah Now that your rose is in bloom A light hits the gloom on the grey I've been kissed by a rose on the grey I, I've been kissed by a rose on the grey I've (And if I should fall, will it all go away?) been kissed by a rose on the grey I, I've been kissed by a rose on the grey There is so much a man can tell you So much he can say You remain my power, my pleasure, my pain To me you're like a growing addiction that I can't deny, yeah Won't you tell me, is that healthy, baby? But did you know that when it snows My eyes become large and The light that you shine can't be seen? Baby, I compare you to a kiss from a rose on the grey Ooh, the more I get of you, the stranger it feels, yeah Now that your rose is in bloom A light hits the gloom on the grey Yes, I compare you to a kiss from a rose on the grey Ooh, the more I get of you, the stranger it feels, yeah And now that your rose is in bloom A light hits the gloom on the grey Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya Now that your rose is in bloom A light hits the gloom on the grey"
Miguel,Girl with the Tattoo Enter.Lewd,2010,soul,"Those innocent eyes That smile on your face makes it easy to trust you If they only knew The girl with the tattoo Like I do Doing what you're doing, just to get you where you're going Yeah, I see it, baby Just don't lose yourself along the way, no 'Cause you're doing what you're doing Just to get you where you're goin' and I see it, baby Ain't too many others gon' ask you to say, ""I do"" But I knew The girl with the tattoo, yeah Oh yeah, I knew The girl with the tattoo I used to know"
Kanye West,Devil In a New Dress,2010,soul,"Uh Uh I love it, though I love it, though, huh, you know? Uh, put your hands to the constellations The way you look should be a sin, you my sensation I know I'm preachin' to the congregation We love Jesus, but you done learned a lot from Satan I mean, a nigga did a lot of waiting We ain't married, but tonight I need some consummation May the Lord forgive us, may the gods be with us In that magic hour, I seen good Christians Make brash decisions, oh, she do it What happened to religion? Oh, she lose it She putting on her makeup, she casually allure Text message break-ups, the casualty of tour How she gon' wake up and not love me no more? I thought I was the asshole, I guess it's rubbin' off Hood phenomenon, the LeBron of rhyme Hard to be humble when you stunting on a jumbotron I'm looking at her like, ""This what you really wanted, huh?"" Why we argue anyway? Oh, I forgot, it's summertime Put your hands to the constellations The way you look should be a sin, you my sensation I know I'm preachin' to the congregation We love Jesus, but she done learned a lot from Satan Satan, Satan, Satan I mean, a nigga did a lot of waiting We ain't married, but tonight I need some consummation When the sun go down, it's the magic hour, the magic hour And outta all the colors that'll fill up the skies You got green on your mind, I can see it in your eyes Why you standing there with your face screwed up? Don't leave while you're hot, that's how Mase screwed up Throwin' shit around, the whole place screwed up Maybe I should call Mase so he could pray for us I hit the Jamaican spot, at the bar, take a seat I ordered the jerk, she said you are what you eat You see, I always loved that sense of humor But tonight, you should have seen how quiet the room was The Lyor Cohen of Dior Homme That's ""Dior Homme,"" not ""Dior, homie"" The crib Scarface, could it be more Tony? You love me for me, could you be more phony? You might also like[Chorus: Kanye West] Put your hands to the constellations The way you look should be a sin, you my sensation Haven't said a word, haven't said a word to me this evening Cat got your tongue? Lookin' at my bitch, I bet she give your ass a bone Lookin' at my wrist, it'll turn your ass to stone Stretch limousine, sipping rosé all alone Double-headed monster with a mind of his own Cherry-red chariot, excess is just my character All-black tux, nigga's shoes lavender I never needed acceptance from all you outsiders Had cyphers with Yeezy before his mouth wired (Uh) Before his jaw shattered, climbing up the Lord's ladder We still speedin', running signs like they don't matter, uh Hater talkin' never made me mad Never that, not when I'm in my favorite paper tag Therefore, G4s at the Clearport When it come to tools, fool, I'm a Pep Boy When it came to dope, I was quick to export Never tired of ballin', so it's on to the next sport New Mercedes sedan, the Lex' sport So many cars, DMV thought it was mail fraud Different traps I was gettin' mail from Polk County, Jacksonville, right in Melbourne Whole clique appetites had tapeworms Spinnin' Teddy Pendergrass vinyl as my J burns I shed a tear before the night's over God bless the man I put this ice over (Uh) Getting 2Pac money twice over Still a real nigga, red Coogi sweater, dice-roller I'm makin' love to the angel of death Catchin' feelings, never stumble, retracin' my steps (Uh) Uh"
Hall & Oates,Out of Touch,1984,soul,"Hey, y'all, whoo! I don't care if you got no legs! Dance on your knees! You're out of touch I'm out of time (time) Shake it up is all that we know Using the bodies up as we go I'm waking up to fantasy The shades all around aren't the colors we used to see Broken ice still melts in the sun And times that are broken can often be one again We're soul alone And soul really matters to me Take a look around You're out of touch I'm out of time (Time) But I'm out of my head When you're not around You're out of touch I'm out of time (Time) But I'm out of my head When you're not around Oh, oh-oh-oh, oh-oh-oh Reaching out for something to hold Looking for a love where the climate is cold Manic moves and drowsy dreams Or living in the middle between the two extremes Smoking guns hot to the touch Would cool down if we didn't Use them so much, yeah We're soul alone And soul really matters to me Too much You're out of touch I'm out of time (Time) But I'm out of my head When you're not around You're out of touch I'm out of time (Time) But I'm out of my head When you're not around Oh, oh-oh-oh, oh-oh-oh Ooh Oh, oh-oh-oh, oh-oh-oh (Out of touch, out of touch Out of touch, out of touch) Wow! Ow, you're out of touch I'm out of time But I'm out of my head When you're not around You're out of touch I'm out of time (Time) But I'm out of my head When you're not around You're out of touch (We're soul alone, girl) I'm out of time But I'm out of my head When you're not around You're out of touch I'm out of time (Out of touch, out of time, out of touch, out of time, girl) But I'm out of my head When you're not around You're out of touch (Reach out for something to hold) Time But I'm out of my head When you're not around (You're too cold, girl, too cold, girl, too cold, girl, yeah) You're out of touch I'm out of time Not around You're out of touch I'm out of time (Out of touch, out of time, out of touch, out of time) (Out of touch, out of time, girl) But I'm out of my head When you're not around You're out of touch Yeah, I'm out of time But I'm out of my head When you're not around You're out of touch I'm out of time..."
Adele,Make You Feel My Love,2008,soul,"When the rain is blowing in your face And the whole world is on your case I could offer you a warm embrace To make you feel my love When the evening shadows and the stars appear And there is no one there to dry your tears I could hold you for a million years To make you feel my love I know you haven't made your mind up yet But I will never do you wrong I've known it from the moment that we met No doubt in my mind where you belong I'd go hungry, I'd go black and blue I'd go crawling down the avenue Know there's nothing that I wouldn't do To make you feel my love The storms are raging on the rollin' sea And on the highway of regret The winds of change are blowing wild and free You ain't seen nothing like me yet I could make you happy, make your dreams come true Nothing that I wouldn't do Go to the ends of the earth for you To make you feel my love To make you feel my love"
Hozier,From Eden,2014,soul,"Babe There's something tragic about you Something so magic about you Don't you agree? Babe There's something lonesome about you Something so wholesome about you Get closer to me No tired sigh, no rolling eyes No irony No ""Who cares?"", no vacant stare No time for me Honey, you're familiar, like my mirror years ago Idealism sits in prison, chivalry fell on his sword Innocence died screaming; honey, ask me, I should know I slithered here from Eden just to sit outside your door Babe There's something wretched about this Something so precious about this Where to begin? Babe There's something broken about this But I might be hoping about this Oh, what a sin To the strand, a picnic planned For you and me A rope in hand for your other man To hang from a tree Honey, you're familiar, like my mirror years ago Idealism sits in prison, chivalry fell on his sword Innocence died screaming; honey, ask me, I should know I slithered here from Eden just to sit outside your door You might also like[Instrumental Interlude] Honey, you're familiar, like my mirror years ago Idealism sits in prison, chivalry fell on his sword Innocence died screaming; honey, ask me, I should know I slithered here from Eden just to hide outside your door"
